id,var_path,var_filename,creator,package_name,version,package_type,predicted_hub_category,predicted_method,predicted_confidence,hub_author,hub_synced_at,matchable_on_hub,miss_mode,predicted_category_correct,actual_hub_category,hub_url_if_found,notes
2852,D:\Games\VAM\AddonPackages\Twerk VR.Creatives_LUTs.1.var,Twerk VR.Creatives_LUTs.1.var,Twerk_VR,Creatives_LUTs,1,Asset,Lighting + HDRI,embed-knn,0.415708278,twerk-vr.572,1779145100,,,,Lighting + HDRI,https://hub.virtamate.com/resources/creatives-luts-for-exotic-visual-experiences.28107/,
2857,D:\Games\VAM\AddonPackages\Twerk VR.LUT_FULL_OF_COLOR.1.var,Twerk VR.LUT_FULL_OF_COLOR.1.var,Twerk_VR,LUT_FULL_OF_COLOR,1,Asset,Lighting + HDRI,embed-knn,0.415449149,twerk-vr.572,1779145100,no,,,,,
3740,D:\Games\VAM\AddonPackages\klphgz.Standing_Pose(513-576).1.var,klphgz.Standing_Pose(513-576).1.var,klphgz,Standing_Pose(513-576),1,Pose,Poses,kind-vote,0.636363636,klphgz.6054,1779127166,,,,Poses,https://hub.virtamate.com/resources/standing-pose-513-576.17983/,
3734,D:\Games\VAM\AddonPackages\klphgz.Sitting_Pose(257-384).2.var,klphgz.Sitting_Pose(257-384).2.var,klphgz,Sitting_Pose(257-384),2,Morph,Poses,kind-vote,0.636363636,klphgz.6054,1779127166,,,,Poses,https://hub.virtamate.com/resources/sitting-pose-257-384.10736/,
144,D:\Games\VAM\AddonPackages\AshAuryn.AshAuryn's_174_Asymmetry_Morphs_for_Mouth.2.var,AshAuryn.AshAuryn's_174_Asymmetry_Morphs_for_Mouth.2.var,AshAuryn,AshAuryn's_174_Asymmetry_Morphs_for_Mouth,2,Morph,Morphs,embed-knn,1,ashauryn.11965,1779143498,,,,Morphs,https://hub.virtamate.com/resources/ashauryns-sexpressions-174-morphs-legacy.1177/,
123,D:\Games\VAM\AddonPackages\AnalogueBob.BJ_Deluxe.2.var,AnalogueBob.BJ_Deluxe.2.var,AnalogueBob,BJ_Deluxe,2,Morph,Morphs,embed-knn,1,AnalogueBob,1779143468,,,,Morphs,https://hub.virtamate.com/resources/bj-deluxe.23492/,
5,D:\Games\VAM\AddonPackages\14mhz.Plugin-Jump.5.var,14mhz.Plugin-Jump.5.var,14mhz,Jump,5,Plugin,Plugins + Scripts,kind-vote,1,14mhz.114877,1779143264,,,,Plugins + Scripts,https://hub.virtamate.com/resources/jump.52061/,
3274,D:\Games\VAM\AddonPackages\WeebU.Futa_Lingerie_set.1.var,WeebU.Futa_Lingerie_set.1.var,WeebU,Futa_Lingerie_set,1,Clothing,Clothing,kind-vote,0.844660194,weebuvr.24,1779145627,,,,Clothing,https://hub.virtamate.com/resources/futa-lingerie-set.5862/,
2821,D:\Games\VAM\AddonPackages\Theuf.Taliahairstyle2.1.var,Theuf.Taliahairstyle2.1.var,Theuf,Taliahairstyle2,1,Hair,Hairstyles,kind-vote,0.896153846,theuf.6013,1779145038,,,,Hairstyles,https://hub.virtamate.com/resources/taliahairstyle.34663/,
3132,D:\Games\VAM\AddonPackages\VirtAmateur.Scene_33_Georgina_s_Dance.2.var,VirtAmateur.Scene_33_Georgina_s_Dance.2.var,VirtAmateur,Scene_33_Georgina's_Dance,2,Morph,Scenes,kind-vote,0.956989247,virtamateur.2342,1779145256,,,,Scenes,https://hub.virtamate.com/resources/georginas-dance.7962/,
